Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Other small states,OSS,16.52692023,17.47910028,17.33188112,16.14198531,14.39164688,13.31566042,12.17409709,11.72815896,11.76451084,12.74515191,12.70908833,11.84889885,11.74261787,11.5126329,11.49837364,10.80220528,10.46462066,10.54436745,10.57432768,10.35723763,9.964954887,10.72959867,11.11498141
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Pacific island small states,PSS,9.624268448,10.51985774,10.56036531,10.08231158,10.84283575,10.24324545,10.43827839,10.07090634,9.969094273,9.249516173,9.30869765,9.171633542,8.945270397,8.90865757,8.754284145,8.142620567,8.361687513,8.497748904,8.294917907,8.216179763,8.114883833,8.191091046,7.64820172
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Post-demographic dividend,PST,17.20646895,16.1312373,15.65961072,15.48258845,15.39127375,15.14935904,14.98453582,14.85452474,14.35952908,13.37854762,13.98530019,13.90974703,13.75352762,13.48802703,13.44267639,13.51504729,13.44264501,13.4388654,13.42205136,13.07698955,12.79770681,12.78214209,..
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Pre-demographic dividend,PRE,9.395451143,10.1037096,9.635694982,9.936523271,9.348137835,8.582011489,8.040993585,7.91507324,7.576606229,8.234450778,7.245690344,7.492678175,7.56701994,8.025901883,8.318907611,8.502554939,8.090115911,7.831142389,8.657959353,9.39592402,10.03723559,10.58645985,9.902994341
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Small states,SST,14.49106896,15.01101636,14.97205475,14.29624899,13.16902714,12.31701448,11.55633025,11.25498823,11.36381392,12.30488031,12.32304407,11.67535442,11.58880229,11.20178238,11.18172766,10.42906904,10.28209899,10.35918228,10.39598825,10.08203005,9.736340656,10.57739674,11.03942072
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,South Asia,SAS,14.64231314,14.27635863,14.60958687,14.64356534,14.96720955,15.32746721,16.50523947,16.24259176,16.46238297,16.48591734,16.49859766,15.78556095,15.57436872,15.0662839,14.92872912,15.18176101,15.05778631,14.90738289,14.93169224,14.05439651,14.48786152,14.89366703,14.26459396
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,South Asia (IDA & IBRD),TSA,14.64231314,14.27635863,14.60958687,14.64356534,14.96720955,15.32746721,16.50523947,16.24259176,16.46238297,16.48591734,16.49859766,15.78556095,15.57436872,15.0662839,14.92872912,15.18176101,15.05778631,14.90738289,14.93169224,14.05439651,14.48786152,14.89366703,14.26459396
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Sub-Saharan Africa,SSF,13.91775634,13.86189466,13.003613,13.35113868,13.02216207,12.32745627,11.09216673,10.85522358,10.34727543,10.58097039,9.822124671,9.700798277,9.556659861,9.953947266,10.07175625,10.04341503,9.890999684,9.812046061,10.62622424,11.02065014,11.08303967,11.64763324,11.44275721
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Sub-Saharan Africa (excluding high income),SSA,13.91095981,13.85658845,12.99619659,13.34818259,13.02977244,12.33238629,11.09514469,10.85681269,10.34815387,10.58289683,9.823377034,9.702306146,9.557510904,9.955920982,10.07379557,10.04692897,9.894429947,9.815537385,10.63024254,11.02580568,11.08555436,11.65078552,11.44720402
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,13.91775634,13.86189466,13.003613,13.35113868,13.02216207,12.32745627,11.09216673,10.85522358,10.34727543,10.58097039,9.822124671,9.700798277,9.556659861,9.953947266,10.07175625,10.04341503,9.890999684,9.812046061,10.62622424,11.02065014,11.08303967,11.64763324,11.44275721
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Upper middle income,UMC,..,..,..,..,22.57574396,22.12145776,22.16677227,22.10249831,22.13670743,22.21302919,21.8423219,21.83792546,21.81173532,21.64100284,22.04795625,22.5971791,22.2011795,22.12745161,22.43227748,21.83124946,22.17504536,23.00299371,22.71654452
